Clock Time, Current, V_battery, CCF, SoC
0.000,0.000000,3.959059,0.99,0.75 
60000.000,0.000000,3.959059,0.99,0.75 
120000.000,0.000000,3.959059,0.99,0.75 
180000.000,0.000000,3.959059,0.99,0.75 
240000.000,0.000000,3.959059,0.99,0.75 
300000.000,0.000000,3.959059,0.99,0.75 
360000.000,0.000000,3.959059,0.99,0.75 
420000.000,0.000000,3.959059,0.99,0.75 
480000.000,0.000000,3.959059,0.99,0.75 
540000.000,0.000000,3.959059,0.99,0.75 
600000.000,0.000000,3.959059,0.99,0.75 
660000.000,0.000000,3.959059,0.99,0.75 
720000.000,0.000000,3.959059,0.99,0.75 
780000.000,0.000000,3.959059,0.99,0.75 
840000.000,0.000000,3.959059,0.99,0.75 
900000.000,0.000000,3.959059,0.99,0.75 
960000.000,0.000000,3.959059,0.99,0.75 
1020000.000,0.000000,3.959059,0.99,0.75 
1080000.000,0.000000,3.959059,0.99,0.75 
1140000.000,0.000000,3.959059,0.99,0.75 
1200000.000,0.000000,3.959059,0.99,0.75 
1260000.000,0.000000,3.959059,0.99,0.75 
1320000.000,0.000000,3.959059,0.99,0.75 
1380000.000,0.000000,3.959059,0.99,0.75 
1440000.000,0.000000,3.959059,0.99,0.75 
1500000.000,0.000000,3.959059,0.99,0.75 
1560000.000,0.000000,3.959059,0.99,0.75 
1620000.000,0.000000,3.959059,0.99,0.75 
1680000.000,0.000000,3.959059,0.99,0.75 
1740000.000,0.000000,3.959059,0.99,0.75 
1800000.000,0.000000,3.959059,0.99,0.75 
